id_municipio;Estado ;municipio;lon1;lat1;lon2;lat2
84;AL;Olho d`Água das Flores;-37,29388889;-9,535833333;-35,735;-9,665833333
85;AL;Olho d`Água do Casado;-37,81666667;-9,5;-35,735;-9,665833333
87;AL;Olivença;-37,19055556;-9,518611111;-35,735;-9,665833333
88;AL;Ouro Branco;-37,35666667;-9,166666667;-35,735;-9,665833333
89;AL;Palestina;-37,32916667;-9,671944444;-35,735;-9,665833333
90;AL;Palmeira dos Índios;-36,62777778;-9,406944444;-35,735;-9,665833333
92;AL;Pariconha;-38,00583333;-9,253888889;-35,735;-9,665833333
93;AL;Paripueira;-35,55194444;-9,465;-35,735;-9,665833333
94;AL;Passo de Camaragibe;-35,49277778;-9,237777778;-35,735;-9,665833333
95;AL;Paulo Jacinto;-36,37;-9,365833333;-35,735;-9,665833333
96;AL;Penedo;-36,58583333;-10,29;-35,735;-9,665833333
97;AL;Piaçabuçu;-36,43388889;-10,40861111;-35,735;-9,665833333
98;AL;Pilar;-35,95666667;-9,597222222;-35,735;-9,665833333
99;AL;Pindoba;-36,29;-9,475;-35,735;-9,665833333
100;AL;Piranhas;-37,75694444;-9,623888889;-35,735;-9,665833333
102;AL;Porto Calvo;-35,39777778;-9,045;-35,735;-9,665833333
104;AL;Porto Real do Colégio;-36,84;-10,18583333;-35,735;-9,665833333
103;AL;Porto de Pedras;-35,295;-9,157777778;-35,735;-9,665833333
101;AL;Poço das Trincheiras;-37,28583333;-9,312777778;-35,735;-9,665833333
91;AL;Pão de Açúcar;-37,43694444;-9,747777778;-35,735;-9,665833333
105;AL;Quebrangulo;-36,47083333;-9,318888889;-35,735;-9,665833333
106;AL;Rio Largo;-35,85277778;-9,477777778;-35,735;-9,665833333
107;AL;Roteiro;-35,97777778;-9,832777778;-35,735;-9,665833333
108;AL;Santa Luzia do Norte;-35,82194444;-9,602777778;-35,735;-9,665833333
109;AL;Santana do Ipanema;-37,245;-9,377777778;-35,735;-9,665833333
110;AL;Santana do Mundaú;-36,22194444;-9,167777778;-35,735;-9,665833333
118;AL;Satuba;-35,82388889;-9,562777778;-35,735;-9,665833333
119;AL;Senador Rui Palmeira;-37,50694444;-9,353888889;-35,735;-9,665833333
111;AL;São Brás;-36,90055556;-10,12777778;-35,735;-9,665833333
112;AL;São José da Laje;-36,05777778;-9,01;-35,735;-9,665833333
113;AL;São José da Tapera;-37,38083333;-9,557777778;-35,735;-9,665833333
114;AL;São Luís do Quitunde;-35,56083333;-9,317777778;-35,735;-9,665833333
115;AL;São Miguel dos Campos;-36,09388889;-9,780833333;-35,735;-9,665833333
116;AL;São Miguel dos Milagres;-35,37277778;-9,265833333;-35,735;-9,665833333
117;AL;São Sebastião;-36,55388889;-9,933888889;-35,735;-9,665833333
120;AL;Tanque d`Arca;-36,43277778;-9,531944444;-35,735;-9,665833333
121;AL;Taquarana;-36,49694444;-9,645;-35,735;-9,665833333
122;AL;Teotônio Vilela;-36,35222222;-9,906111111;-35,735;-9,665833333
123;AL;Traipu;-37,00277778;-9,970833333;-35,735;-9,665833333
124;AL;União dos Palmares;-36,03194444;-9,162777778;-35,735;-9,665833333
125;AL;Viçosa;-36,24083333;-9,371388889;-35,735;-9,665833333
24;AL;Água Branca;-37,93611111;-9,260833333;-35,735;-9,665833333
126;AM;Alvarães;-64,83333333;-3,2;-60,02166667;-3,118888889
127;AM;Amaturá;-68,19777778;-3,363888889;-60,02166667;-3,118888889
166;AM;Anamã;-61,40388889;-3,58;-60,02166667;-3,118888889
128;AM;Anori;-61,64416667;-3,772777778;-60,02166667;-3,118888889
129;AM;Apuí;-59,89083333;-7,196944444;-60,02166667;-3,118888889
130;AM;Atalaia do Norte;-70,19194444;-4,371944444;-60,02166667;-3,118888889
131;AM;Autazes;-59,11972222;-3,586388889;-60,02166667;-3,118888889
132;AM;Barcelos;-62,92388889;-0,975;-60,02166667;-3,118888889
133;AM;Barreirinha;-57,06861111;-2,8025;-60,02166667;-3,118888889
134;AM;Benjamin Constant;-70,03179;-4,37555;-60,02166667;-3,118888889
135;AM;Beruri;-61,37138889;-3,902222222;-60,02166667;-3,118888889
136;AM;Boa Vista do Ramos;-57,59;-2,97;-60,02166667;-3,118888889
137;AM;Boca do Acre;-67,39777778;-8,751944444;-60,02166667;-3,118888889
138;AM;Borba;-59,59388889;-4,387777778;-60,02166667;-3,118888889
139;AM;Caapiranga;-61,2;-3,316666667;-60,02166667;-3,118888889
140;AM;Canutama;-64,38277778;-6,533888889;-60,02166667;-3,118888889
141;AM;Carauari;-66,89583333;-4,882777778;-60,02166667;-3,118888889
142;AM;Careiro;-60,36888889;-3,767777778;-60,02166667;-3,118888889
143;AM;Careiro da Várzea;-59,82583333;-3,220833333;-60,02166667;-3,118888889
144;AM;Coari;-63,14083333;-4,085;-60,02166667;-3,118888889
145;AM;Codajás;-62,05694444;-3,836944444;-60,02166667;-3,118888889
146;AM;Eirunepé;-69,87444444;-6,659722222;-60,02166667;-3,118888889
147;AM;Envira;-70,02277778;-7,432777778;-60,02166667;-3,118888889
148;AM;Fonte Boa;-66,09166667;-2,513888889;-60,02166667;-3,118888889
149;AM;Guajará;-72,58388889;-7,545833333;-60,02166667;-3,118888889
150;AM;Humaitá;-63,02083333;-7,506111111;-60,02166667;-3,118888889
151;AM;Ipixuna;-71,695;-7,050833333;-60,02166667;-3,118888889
152;AM;Iranduba;-60,18861111;-3,285;-60,02166667;-3,118888889
153;AM;Itacoatiara;-58,44388889;-3,142777778;-60,02166667;-3,118888889
154;AM;Itamarati;-68,25277778;-6,425;-60,02166667;-3,118888889
155;AM;Itapiranga;-58,02194444;-2,748888889;-60,02166667;-3,118888889
156;AM;Japurá;-66,59888889;-1,826111111;-60,02166667;-3,118888889
157;AM;Juruá;-66,06888889;-3,480833333;-60,02166667;-3,118888889
158;AM;Jutaí;-66,76694444;-2,746944444;-60,02166667;-3,118888889
159;AM;Lábrea;-64,79777778;-7,258888889;-60,02166667;-3,118888889
160;AM;Manacapuru;-60,62055556;-3,3;-60,02166667;-3,118888889
161;AM;Manaquiri;-60,45944444;-3,428055556;-60,02166667;-3,118888889
162;AM;Manaus;-60,02166667;-3,118888889;-60,02166667;-3,118888889
163;AM;Manicoré;-61,3;-5,808888889;-60,02166667;-3,118888889
164;AM;Maraã;-65,58083333;-1,855833333;-60,02166667;-3,118888889
165;AM;Maués;-57,71861111;-3,383611111;-60,02166667;-3,118888889
167;AM;Nhamundá;-56,71277778;-2,185833333;-60,02166667;-3,118888889
168;AM;Nova Olinda do Norte;-59,09388889;-3,887777778;-60,02166667;-3,118888889
169;AM;Novo Airão;-60,94388889;-2,620833333;-60,02166667;-3,118888889
170;AM;Novo Aripuanã;-60,38055556;-5,121388889;-60,02166667;-3,118888889
171;AM;Parintins;-56,73583333;-2,627777778;-60,02166667;-3,118888889
172;AM;Pauini;-66,97583333;-7,713888889;-60,02166667;-3,118888889
173;AM;Presidente Figueiredo;-60,025;-2,017222222;-60,02166667;-3,118888889
174;AM;Rio Preto da Eva;-59,7;-2,698888889;-60,02166667;-3,118888889
175;AM;Santa Isabel do Rio Negro;-65,01888889;-0,413888889;-60,02166667;-3,118888889
176;AM;Santo Antônio do Içá;-67,94;-3,101944444;-60,02166667;-3,118888889
180;AM;Silves;-58,20916667;-2,838888889;-60,02166667;-3,118888889
177;AM;São Gabriel da Cachoeira;-67,08888889;-0,13;-60,02166667;-3,118888889
178;AM;São Paulo de Olivença;-68,95;-3,45;-60,02166667;-3,118888889
179;AM;São Sebastião do Uatumã;-57,87083333;-2,571944444;-60,02166667;-3,118888889
181;AM;Tabatinga;-69,93805556;-4,2525;-60,02166667;-3,118888889
182;AM;Tapauá;-63,18277778;-5,627777778;-60,02166667;-3,118888889
183;AM;Tefé;-64,71083333;-3,353888889;-60,02166667;-3,118888889
184;AM;Tonantins;-67,80194444;-2,872777778;-60,02166667;-3,118888889
185;AM;Uarini;-65,10777778;-2,99;-60,02166667;-3,118888889
